Word,Count
银行卡,7042
转账,6850
银行,4372
账户,4056
卡号,3410
自称,3193
信息,2878
公安局,2708
手机,2643
账号,2619
APP,2429
下载,2352
微信,2136
转,2038
需要,2032
诈,2018
涉嫌,1999
QQ,1960
嫌疑,1911
进行,1777
中国,1773
。-,1642
联系,1572
操作,1494
号,1426
民警,1421
添加,1417
邮政储蓄,1373
上,1368
工作,1333
员,1292
内,1275
调查,1241
中国银行,1194
冒充,1183
名下,1141
视频,1113
没有,1084
.,1071
万,1065
配合,1059
洗,1025
里,1015
资金,975
QQ号,959
中国建设银行,955
数字,949
一张,936
中,929
告诉,918
陌生,917
案件,911
然,908
软件,899
中国农业银行,887
不,867
卡,853
去,852
秒,850
家中,831
会议,816
还,814
安全,797
走,796
使用,795
验证码,789
密码,788
身份,774
金额,773
转到,762
10,750
都,742
涉案,737
包,725
派出所,713
11,680
一起,676
网址,658
情况,644
已,632
农村,628
瞩目,626
转入,619
涉及,615
1,610
建设银行,603
。，,603
办理,599
收款,595
12,592
指定,590
告知,589
开户,583
2,579
笔,578
转接,576
收到,574
邮政,552
共享,549
15,542
称其,541
间,541
9,539
14,532
输入,529
短信,529
屏幕,528
中国工商银行,525
16,515
13,515
方式,510
支付宝,505
证明,503
所有,503
里面,501
信用社,497
5000,496
意识,492
警察,491
农业银行,491
手机号,490
链接,483
10000,483
8,480
公检法,478
现在,478
冻结,475
50000,475
问,472
遂,469
17,456
公安,455
通话,448
银行账号,447
20000,445
聊天,437
共,436
会,434
开,433
防护,432
去过,430
中心,430
查询,429
删除,428
有限公司,428
开户行,419
打开,418
公安机关,416
20,414
点,403
转给,401
隔离,398
非法,395
app,394
下,391
工商银行,390
现,385
3,382
犯罪,379
核实,377
警方,376
指示,376
建设,372
下午,367
18,366
显示,364
反诈,359
岁,358
110,357
贷款,356
流水,355
了解,351
账,350
好友,349
北京,348
5,346
进入,344
接,343
已经,343
电信,342
居民,340
记录,338
加,338
处理,335
是否,334
左右,332
招商银行,331
泄露,329
交通银行,328
4,325
相信,324
护照,323
19,322
就让,322
期间,317
看到,317
编号,313
可能,312
工商,312
登录,310
市,302
提示,301
余额,301
诈案,299
网站,299
发送,298
第一笔,294
报称,294
洗案,294
语音,293
疫情,292
查看,291
再,290
没,290
网络,287
无,286
继续,285
才,285
疾控中心,283
全部,283
住址,277
第二笔,276
洗黑,275
询问,275
所称,274
信以为真,273
上海,273
男子,272
经查,271
警官,271
户籍,271
先,268
一笔,267
注册,266
一下,265
一共,264
看,263
网上,260
农业,257
找,255
帮,255
上午,254
点击,253
支付,249
交易,243
便,241
指导,238
防疫,237
发给,234
提现,233
客服,232
感觉,232
转出,232
填写,229
汉族,228
发生,228
钉,227
然让,226
21,226
候,225
登陆,225
网银,224
发来,223
参与,223
两个,223
30,222
接受,222
30000,221
视频会议,221
6,219
单位,218
现住,215
事情,215
转款,213
7,213
检察院,212
清查,211
来电,210
刑事案件,210
笔录,210
购买,209
姓名,209
一名,208
发,207
名为,206
照片,206
00853,204
远程,203
qq,203
卡内,201
卡里,199
局,199
未,195
知道,195
上面,189
投屏,188
问题,188
所接,187
立即,186
防控,186
入境,185
保证金,184
现场,180
第三笔,179
指令,179
相关,179
验证,178
中国邮政,178
加入,178
所在地,177
应用,176
两笔,176
群,174
不对劲,174
民,174
不能,173
扫码,173
被盗,173
公司,171
平台,170
警服,169
冒用,169
信用卡,169
小,168
完,167
完成,166
张,165
22,163
清白,162
网页,162
密接,162
码,161
国家,160
名叫,160
zoom,159
绑定,159
家里,158
并称,157
地方,156
其于,156
）-,156
害怕,155
挂断,155
直接,153
发觉,152
。（,152
23,152
一级,152
银监会,151
朋友,150
过程,149
出,149
名称,148
核查,148
农商,147
有没有,146
系,145
次,145
警号,144
拨打,144
事,143
24,142
录音,142
在内,139
平安,138
之前,138
引导,138
00,137
申请,137
汇款,137
二维码,136
认识,136
过去,135
兴业银行,134
联合社,134
内容,134
邮储,133
程度,133
09,132
需,132
加上,131
进去,131
不要,131
南京,131
取,130
王,130
京东,129
儿子,128
群众,128
转完,128
资产,128
一款,127
成功,127
具体,126
接通,126
刑事,126
乐播,125
25,125
女儿,125
诱导,123
银,123
哈尔滨,123
支行,123
上班,123
通缉令,122
过来,122
指引,122
截图,121
充值,121
违法,121
办,121
是不是,120
指挥,120
开启,120
不是,120
上海市公安局,119
才能,119
浏览器,119
科技,118
大队,118
一会,117
转过,117
40,117
名字,117
转走,117
缴纳,116
50,116
接称,116
随即,116
Zoom,116
40000,116
单,115
搜索,115
交通,114
好,114
谎称,114
接警,114
协助,114
不详,114
宝,114
云,113
户政科,113
金融,112
抓,110
商业银行,110
逮捕令,109
表示,109
南京市,109
转至,108
第四,108
价值,107
一条,107
帮助,107
ZOOM,107
花,107
股份,106
想,106
