Word,Count
转账,38633
银行卡,22733
账户,21775
银行,21587
客服,19811
京东,17657
卡号,16978
账号,12646
APP,12210
操作,11642
需要,11479
自称,11100
进行,10589
手机,10551
信息,10188
下载,9611
贷款,9342
嫌疑,9251
支付宝,7713
号,7521
会议,7265
。-,7217
上,7149
中国,7006
转,6606
中国银行,6512
征信,6470
QQ,6469
联系,6255
微信,6120
员,5951
不,5833
会,5740
快递,5735
中国建设银行,5601
诈,5484
工作,5453
金条,5401
内,5344
关闭,4964
.,4943
中,4831
平台,4756
取消,4755
邮政储蓄,4467
使用,4333
家中,4314
陌生,4286
冒充,4269
指定,4163
建设银行,4091
里,4067
理赔,4027
购买,3976
影响,3839
添加,3746
开户,3714
没有,3694
快手,3636
白条,3553
然,3526
方式,3518
额度,3462
中国农业银行,3455
金额,3392
贷,3366
软件,3358
。，,3299
1,3138
金融,3129
卡,3127
还,2905
微粒,2820
投屏,2787
2,2771
开户行,2748
继续,2702
网址,2662
转到,2636
问题,2620
涉案,2618
意识,2595
资金,2565
已,2555
无,2539
利率,2527
中国工商银行,2523
里面,2503
指示,2488
告诉,2483
开通,2454
遂,2445
秒,2441
收款,2434
民警,2425
工商银行,2424
万,2416
农业银行,2397
注销,2392
QQ号,2386
进入,2365
农村,2349
15,2335
指导,2328
打开,2286
12,2265
语音,2254
钉,2250
乐播,2212
14,2197
派出所,2194
建设,2185
退款,2151
16,2149
银行账号,2139
转给,2116
情况,2113
中心,2096
10,2085
记录,2079
转入,2067
名下,2060
3,2060
称其,2042
5000,2037
都,2035
笔,2028
11,2024
业务,2015
去,2013
间,2004
17,1990
屏幕,1987
13,1986
现在,1969
共享,1953
成功,1950
110,1928
输入,1924
收到,1917
共,1906
18,1894
20,1892
提示,1880
借款,1876
链接,1858
下,1852
交通银行,1844
有限公司,1843
聊天,1802
网银,1789
丢失,1785
办理,1773
二维码,1771
消除,1763
信用社,1744
再,1735
云,1733
提现,1718
腾讯,1709
信以为真,1696
注册,1690
先,1687
账,1678
点,1675
开,1672
网站,1668
告知,1653
岁,1637
显示,1634
app,1618
申请,1614
4,1612
现,1589
问,1586
服务,1576
公司,1574
未,1561
5,1547
500,1537
接,1537
闲鱼,1528
一笔,1520
手机号,1519
反诈,1512
才能,1503
10000,1501
相信,1490
之前,1480
网上,1476
国家,1473
邮政,1470
19,1466
下午,1452
了解,1431
支付,1425
代理商,1425
商品,1421
身份,1412
左右,1363
涉及,1358
加入,1324
冻结,1321
农业,1320
流水,1316
通话,1305
银,1301
第一笔,1296
居民,1289
赔偿,1271
学生,1271
感觉,1271
工商,1270
短信,1263
第二笔,1250
点击,1237
认证,1220
订单,1209
名称,1200
才,1193
过程,1188
买,1183
期间,1171
就让,1167
视讯,1155
验证码,1152
电信,1149
发送,1142
违规,1142
处理,1136
解除,1136
群,1136
完成,1132
转款,1124
商城,1116
转完,1115
网络,1115
20000,1104
一共,1101
住址,1097
邮箱,1094
会员,1094
已经,1091
帮,1075
）-,1073
花,1067
余额,1066
在线,1065
一张,1065
50000,1065
户籍,1064
招商银行,1061
银监会,1058
网贷,1056
经查,1056
返还,1051
指令,1049
现住,1045
6,1040
价值,1038
具体,1025
绑定,1019
报称,1016
淘宝,1014
好友,1012
借贷,1012
加,997
候,993
信用卡,987
是否,985
操作失误,983
走,980
单,976
验证,975
信用,969
便,962
物流,960
搜索,954
所称,949
立即,949
查看,941
安全,940
8,937
上面,934
询问,928
删除,928
21,924
全部,920
涉嫌,919
引导,915
需,902
备用金,897
飞,897
单位,894
截图,891
保监会,890
功能,890
赔付,889
登录,882
每个,881
9,881
查询,881
两笔,877
快,876
汉族,870
公众,865
出来,859
发,858
发觉,857
来电,856
转过,846
视频,833
在内,831
不良,831
6000,827
利息,810
所有,808
应用,807
一下,806
交易,806
现场,805
贷款额度,802
拨打,800
汇款,795
30,787
密码,786
接受,779
电商,775
北京,774
充值,770
然让,768
导致,762
农商,754
扣除,754
指挥,753
退,747
帮助,742
购物,734
刑事案件,733
第三笔,729
22,724
名为,722
相关,720
上班,717
发来,717
存在,715
姓名,713
没,711
保证金,707
犯罪,699
费用,699
讯,698
内容,696
其于,696
发给,694
7,692
扫码,688
不对劲,685
配合,683
订单号,682
扣,672
所在地,666
所接,664
公安局,663
看到,657
规定,656
抖音,656
一级,655
指引,653
蚂蚁,653
编号,647
不会,643
贵阳,636
浦发银行,636
平安,636
男子,636
两个,635
付款,634
一起,634
核实,629
听见,629
小,619
视频会议,619
物品,618
30000,617
界面,616
中信银行,615
进去,613
发生,609
通道,608
案犯,608
并称,607
页面,605
想,601
宣传,600
成,598
系,597
出,592
15000,592
扫描,587
保障,584
交通,584
解冻,583
3000,580
接称,579
失败,578
持卡,577
再次,577
开启,576
缴纳,575
退还,575
广发,574
讯通,572
虚拟,571
不详,570
看,570
诱导,569
23,567
商家,562
浏览器,558
扣款,556
自动,554
中国邮政,553
代理,552
取,550
数字,550
钓鱼,550
直接,549
登陆,547
可能,545
一名,544
东西,543
卡里,543
网页,543
商业银行,539
质量,537
完,534
支行,531
40000,530
还款,530
不能,529
退回,528
高,526
接警,526
股份,524
手段,522
产生,521
店铺,516
次,516
沟通,515
官方,513
找,511
丢,511
程度,509
系统,509
之间,505
案件,504
），,503
帮其,499
联合社,497
渤海,495
清空,494
款,492
qq,491
这笔,491
通云,490
同意,487
称要,487
00,487
。（,484
银联,484
打来,481
调查,475
虚假,474
房间,472
挂断,470
国民,469
出现,469
中午,468
回来,468
两次,467
上午,466
觉得,463
刷,463
兴业银行,462
原,459
调整,457
科技,455
一条,454
知道,451
归属,447
邮储,446
开展,445
谎称,442
商店,440
过去,439
子,437
张,437
过高,436
会议室,435
转接,434
手上,430
江苏,428
邮件,424
提高,424
24,421
卡内,420
接报,420
第四,419
降低,419
三笔,415
吉林,414
教,413
码,411
填写,411
变更,410
回执单,410
最,407
清算,406
声称,404
掉,403
程序,402
理由,402
领取,402
超过,399
咸鱼,398
建行,397
校园,396
怀疑,395
诈案,392
对接,391
一款,390
大学,390
错误,389
扣费,388
流程,386
过来,382
作案,382
40,381
群众,381
弄,375
采集,375
手,374
性别,373
文化,373
职业,372
开户银行,371
关联,366
必须,366
安徽省,364
公安机关,361
信任,360
不了,359
合计,358
代码,358
全民,357
类,355
浙江,354
表示,354
好期,353
转出,353
员工,352
第一次,350
其本,350
买家,349
民生银行,347
不够,346
转至,346
全视通,342
8000,342
实际,341
确实,341
金服,340
受理,339
随即,338
保险,337
50,337
如下,337
异常,337
运输,336
好,336
逾期,335
晚上,334
学历,333
太高,333
大队,333
解决,331
总计,331
图片,329
名叫,329
多多,329
储蓄卡,329
网上银行,327
设置,326
证据,324
实施,323
位于,322
拼,322
工具,320
双方,318
退费,317
--,317
事情,315
室,314
更改,312
一步,311
企业,311
转出去,310
均,310
商,308
还要,308
加上,307
风险,307
全视,307
25,306
侦查,306
修改,304
26,302
正规,301
家里,300
返回,300
证件,300
挂,299
三,298
第二次,298
名字,298
休息,296
29,296
。至,293
此案,293
消费,291
报,290
4000,290
报告,290
我队,289
包裹,289
09,288
一会,288
自称为,288
材料,287
宝,287
是不是,286
查,286
衣服,286
任务,285
名义,285
28,284
有个,284
云闪付,284
随让,283
出警,283
多次,282
清除,282
其用,282
录入,281
化妆品,279
又称,278
电子,278
重新,278
原因,276
王,276
经理,275
总共,275
27,273
扫,272
云南省,271
窗口,271
中通,271
不到,270
远程,270
损坏,269
包,268
一次,268
朋友,268
群号,268
不上,267
所谓,267
登记,267
受,266
汇出,266
12000,265
用户,265
交,264
100,264
下单,264
三次,264
上海,263
消费者,263
品牌,261
发了,260
用于,260
卡主,260
携程,260
天津,260
1000,259
35,259
正常,258
教其,258
展,256
帐号,254
信誉,253
先是,253
厂家,253
9000,252
第五,252
zoom,252
就要,251
称因,251
升级,251
点开,251
提出,251
卡上,250
制作,250
今天,250
有没有,250
想要,248
百度,248
赔,248
在家,247
代理费,247
本案,247
高于,246
称有,246
激活,246
笔录,246
25000,246
下调,245
产品,245
31,245
光大银行,245
然其,244
前,244
自行,243
群里,243
快贷,243
然在,242
成为,242
现金,241
接通,241
群内,241
审核,241
母亲,240
教育,239
清零,239
数据,239
台,239
手机网,239
其发,238
34,238
其称,237
步骤,237
确认,236
上海浦东发展银行,236
选择,236
然给,236
返款,235
仍,234
授权,234
保护,234
江苏省,234
39,234
01,233
新,233
咨询,233
商户,232
45,231
提取,231
政策,231
学费,231
李,230
大,230
三个,230
学习,229
36,229
听,229
2000,228
找到,227
ID,227
~,227
33,226
失误,226
37,225
42,224
32,224
中国民生银行,223
对应,223
问其,222
对话框,221
解绑,220
察觉,220
08,220
涉诈,219
出售,219
7000,219
上课,219
】-,218
将会,218
属于,218
不是,218
证券,218
安装,217
18000,217
东莞,216
农行,216
政治面貌,215
贷上,214
店家,214
期,214
退还给,212
一通,211
47,210
ZOOM,210
退回来,210
中国银联,209
正在,209
记不清,209
圆通,209
事,209
申通,208
还给,208
客户,208
关注,207
低,207
让给,207
造成,206
类型,205
`,205
44,204
14000,203
泄露,203
四笔,203
转帐,203
：-,203
投资,203
报立,203
归还,203
专员,202
群聊,202
当事,202
其个,201
02,201
41,201
陆续,200
交流,200
恢复,200
.-,199
协议,197
Zoom,197
借出来,197
面,197
权限,196
38,196
E,196
48,195
会扣,195
并未,195
清理,194
不用,194
证明,193
上当,193
队,192
第三方,192
该软件,192
清楚,192
行,192
"。,",192
49,191
到达,191
其加,191
境外,190
玩,190
提升,190
取出,189
南京,189
迅速,189
010,188
百万,188
55,187
不要,187
符合国家,186
强国,186
承诺,186
市场,185
给我发,185
韵达,185
打款,185
口音,184
书,184
理财,184
疫情,183
无业,183
安逸,182
高额,182
以为,182
得知,182
第三次,182
上网,181
几个,181
委员会,181
超,181
200,180
更新,180
笔是,180
途中,179
记得,179
很,179
误操作,178
国家标准,178
51,178
男性,178
达,177
获取,177
金,177
卖,177
社区,176
卡向,176
华夏银行,175
帐户,175
识别,175
甲,174
54,174
35000,174
0,174
43,173
800,172
手续费,172
处警,172
网购,172
银行贷款,171
河北,170
之会,170
初中,170
13000,170
06,169
限额,169
形式,169
路,169
中银,169
转回,168
58,167
两张,167
57,167
家住,167
方,167
回收,167
46,167
费,167
商业,166
卡卡,166
去向,166
报在,166
机构,166
拉,166
微利,165
渠道,165
刘,164
交纳,164
值班,164
9999,164
别是,164
消息,163
小心,163
天眼,163
马上,163
04,162
同样,162
聊天记录,161
局,161
二,161
通讯,160
e,160
由取,160
辖区,159
07,159
多个,159
该案,159
明细,159
来到,159
方知,159
16000,158
53,158
高息,158
刑事,158
经济,157
微信里,157
现勘,157
52,156
网银向,156
镇,155
一步步,155
之称,154
80000,154
名,153
亿联,152
其向,152
小鱼,152
本市,152
帮忙,152
获得,152
。左右,151
提醒,151
发票,151
实名,151
中信,151
虚构,150
卖家,150
11000,150
59,150
监督管理,150
来自,149
安徽,148
03,147
56,147
工,147
我局,147
然他,147
女性,147
女子,147
事实,147
徽商,147
24000,147
05,146
只,146
以上,146
街道,146
总行,146
变成,146
清退,145
降低利率,144
第六,144
尾号,143
。接,143
避免,143
上述,143
忘记,143
韵,141
贷出,141
发布,141
监管,141
补偿,140
求助,140
信贷,140
本名,140
请,140
随其,140
美团,140
讲,140
赶到,139
此项,139
60000,139
19000,139
中国光大银行,139
App,138
取得联系,138
续,138
详情,138
关掉,138
发货,138
款项,138
老公,138
现要,137
回复,137
发起,137
对冲,136
误,136
邀请,136
脸,136
安全系数,135
称于,135
苏宁,135
假,135
贷中,134
转移,134
看不到,134
真的,134
以前,134
展开,134
课堂,134
晚,134
22000,134
出去,133
比较,133
借出,132
17000,132
结束,132
其便,132
家,132
现已,131
账为,131
四,131
有点,130
假一,130
网,129
我用,129
组织,129
存款,129
下来,128
南方,128
称其于,128
相应,128
27000,127
处置,127
通,127
中称,127
提到,127
投屏宝,127
总,126
提交,126
服务中心,125
整,125
员称,125
万余,125
事宜,125
宿舍,124
会员费,124
检测,124
五,124
售卖,124
状态,123
跟着,123
回去,123
约,123
很多,123
项目,123
绑,123
随在,123
预警,122
钟,122
陈,122
广东,122
目前,122
r,122
拟立,122
接听,121
退货,121
返利,121
余,121
别向,121
农信,120
代,120
杨,120
然再,120
撤销,120
选项,120
农,120
录音,120
宁波,120
欠款,120
确定,119
一份,119
看见,119
六,118
不及,118
一件,118
几张,118
同事,118
贷里,118
通知,118
销毁,117
红包,117
块,117
河北省,117
融,117
杭州,117
游戏,117
案发,117
wxid,117
苏州,116
财务,116
大专,116
声音,116
70000,115
其才,115
叫做,115
收取,115
辅警,115
核对,115
其有,115
卸载,115
抖,114
业务员,114
利用,114
以帮,114
照片,114
全程,114
上学,114
开会,114
今,114
进,114
发过来,114
突然,113
初中文化,113
宝云,113
不足,113
23000,113
工行,112
害怕,112
回,112
别为,112
住,112
接收,112
对话,112
瞩目,111
给予,111
资产,111
价格,111
部,111
抬头,111
26000,110
。称,110
投屏码,110
假借名义,110
www,110
号楼,110
儿子,110
更,110
易连,110
本科,110
下载安装,109
协助,109
零,109
这次,109
赔款,109
不想,108
6500,108
结清,108
反映,108
大概,108
一串,108
34000,107
止付,107
赔偿金,107
回到,107
打入,107
标准,107
投诉,106
该笔,106
退赔,106
反应,105
附近,105
300,105
其要,105
应该,105
防止,105
刚,105
黑,105
保证,105
内有,105
其当,105
三方,105
看看,104
集团,104
窝窝,104
万多,104
兴业,104
赶至,104
累计,104
n,104
我加,104
买过,104
理赔金,103
JD,103
连接,103
份,103
受过,103
小店,103
转走,103
符合,103
还会,103
加其,103
重庆,102
滇,102
49950,102
湖南省,102
剩余,102
VIP,102
退出,101
返现,101
这是,101
返,101
警,101
直到,101
方法,101
45000,101
是因为,101
立,101
村民,101
地点,100
一会儿,100
进一步,100
商铺,100
处,100
广东省,100
前来,99
管理,99
4500,99
36000,99
智能,99
跳转,99
网易,99
卖东西,98
农村信用,98
毕业,98
女儿,98
次数,98
单号,98
准备,98
优逸花,97
换,97
手电,97
广州,97
38000,97
生活,97
28000,97
周,97
遗失,97
富,97
原路,97
苹果,96
第七,96
索要,96
民,96
称为,96
最终,96
轻信,96
。我,96
】，,95
云南,95
天猫,95
贵州,95
面膜,95
微博,95
怎么回事,95
解散,95
易购,94
售,94
剩下,94
被扣,94
蒙商,94
居住,94
条,93
大学生,93
49999,93
软视,93
贷借,93
只能,93
深圳,93
民生,93
货物,93
违反,92
详细,92
初查,92
早上,92
受到,92
账单,92
一定,92
学校,92
事件,92
信用度,92
赶紧,92
回款,91
负责,91
浙江省,91
手机软件,91
听从,91
办法,91
然将,91
完之,91
第二个,90
万转,90
软视通,90
几笔,90
电诈,90
资料,90
备注,89
阿里巴巴,89
四次,89
违法,89
当天,89
联社,89
用来,89
信用联社,89
街,89
佳讯,89
点多,89
21000,89
2022,89
积,88
曾,88
个体,88
32000,88
明,88
工作失误,88
第四次,88
闲,88
认为,88
布警,87
上传,87
音上,87
飞书,87
付,87
随称,87
过防诈,87
按着,87
33000,87
凭证,87
联合,87
段,87
孩子,87
49000,86
超出,86
完善,86
闲置,86
然把,86
开卡,86
信誉度,86
连续,86
遇到,86
改成,86
里边,86
操作过程,85
7500,85
清单,85
电子礼品,85
发送给,85
资格,85
：，,85
无声,85
保险公司,85
加微信,85
幢,85
等待,85
妻子,85
网店,84
信,84
29000,84
一次性,84
少,84
写,84
请求,84
页,84
不行,84
青岛,83
4999,83
栋,83
防疫,83
行为,83
得到,83
刑侦,83
修复,83
父亲,83
完毕,83
属实,83
刷单,83
即可,82
开头,82
闪付,82
手续,82
留言,82
直播,82
新冠,82
旗舰店,82
湖北,82
山东省,82
套现,82
迈聆,82
五笔,82
区,82
中行,82
权益,82
