Word,Count
转账,88494
APP,42662
卡号,42487
任务,37617
银行,36290
银行卡,35485
账号,35081
账户,34164
下载,33282
刷单,22792
微信,21414
提现,20679
链接,18330
进行,17713
客服,17064
手机,16241
中国,15020
信息,14601
中国农业银行,13674
充值,13376
操作,13077
。-,12828
嫌疑,12828
邮政储蓄,12685
有限公司,12409
软件,12304
需要,12282
刷,12278
返利,12088
转,11830
QQ,11537
号,11269
完成,11080
上,11018
群,10812
继续,10749
添加,10592
中国银行,10497
佣金,10465
联系,10279
内,10206
金额,10197
中国建设银行,10000
单,9878
开户,9408
农业银行,9054
笔,9054
农村,8783
网址,8681
支付宝,8605
好友,8339
注册,8167
诈,8050
群里,7650
10,7397
赚,7342
点击,7340
信用社,7327
使用,7293
家中,7264
收款,7157
卡,6989
关注,6979
.,6953
已,6939
建设银行,6732
里面,6713
单任务,6660
秒,6550
1,6491
收到,6233
然,6209
方式,6096
开户行,6094
指定,6081
app,5991
12,5945
陌生,5900
11,5866
没有,5865
2,5644
群内,5619
中,5572
平台,5518
间,5424
二维码,5406
里,5394
中国工商银行,5357
3,5330
不,5326
才能,5290
抖音,5177
交通银行,5062
工作,4985
还,4944
返现,4862
点,4701
涉案,4656
接待员,4648
返款,4609
。，,4537
农业,4529
兼职,4501
账,4493
15,4478
网上,4444
聊天,4345
名为,4323
9,4322
邮政,4318
4,4297
都,4291
遂,4264
工商银行,4197
14,4196
科技,4189
意识,4175
13,4155
进入,4133
看到,4042
共,4031
8,4008
5,3983
删除,3977
银行账号,3931
完,3922
发,3919
开,3914
再,3866
发布,3861
网络,3841
发送,3837
16,3819
微信群,3787
第一笔,3784
1000,3732
网站,3729
购买,3701
第二笔,3666
500,3545
民警,3518
本金,3511
无,3510
先,3505
派出所,3504
红包,3492
20,3463
17,3415
情况,3414
会,3398
返还,3384
支付,3373
指示,3368
成功,3349
建设,3299
指导,3288
QQ号,3274
群聊,3272
18,3206
操作失误,3171
第三笔,3157
提示,3142
加,3125
候,3094
下,3088
才,3057
转给,3042
告诉,3028
网银,3019
5000,3017
19,2935
3000,2929
短信,2917
10000,2908
广告,2884
数据,2862
一共,2860
截图,2848
期间,2816
获得,2802
左右,2788
员,2760
扫码,2752
名叫,2706
未,2682
6,2669
找,2652
拉,2642
第四,2614
一笔,2575
了解,2573
居民,2564
去,2553
公众,2549
接,2548
110,2529
错误,2486
解散,2481
一款,2463
显示,2436
岁,2430
领取,2409
万,2383
招商银行,2372
工商,2368
挣,2368
一条,2366
感觉,2359
户籍,2356
名下,2354
现,2350
点赞,2340
一起,2323
赚取,2318
转入,2310
21,2306
导师,2270
返,2265
钉,2243
转款,2209
发给,2195
已经,2184
现住,2169
300,2158
登录,2144
20000,2132
小,2124
反诈,2123
垫付,2121
不能,2084
介绍,2079
7,2055
发来,2037
100,2031
选择,2026
汉族,1996
住址,1990
所称,1985
经查,1980
商品,1978
30000,1944
30,1943
下午,1936
便,1933
玩,1914
次,1902
资金,1891
自称,1887
想,1886
河北省,1884
进去,1879
网页,1858
联合社,1853
传媒,1829
名称,1828
中国邮政,1818
一单,1817
北京,1816
抖,1795
码,1794
22,1793
商贸,1792
告知,1788
报称,1788
现在,1786
50000,1770
问,1767
）-,1761
电信,1736
赞,1735
商家,1724
第五,1713
派,1702
2000,1695
再次,1690
推荐,1683
姓名,1667
单位,1658
手机号,1642
订单号,1631
所在地,1627
视频,1613
上面,1610
活动,1608
助理,1600
价值,1584
一级,1579
之前,1565
公益,1540
交通,1539
扫描,1539
会员,1536
23,1536
拉进,1533
信以为真,1531
指令,1530
冻结,1529
上午,1523
助力,1516
转完,1513
公司,1511
老师,1499
汇款,1495
上海,1491
上网,1488
交易,1466
加入,1454
付款,1452
发生,1439
以刷单,1428
淘宝,1424
两笔,1424
打开,1421
约炮,1413
文化,1411
积,1409
引导,1404
内容,1380
询问,1376
群中,1370
没,1362
接受,1350
立即,1343
余额,1329
同意,1325
该软件,1322
一名,1310
订单,1289
登陆,1285
单员,1283
约,1283
群主,1272
发觉,1263
刑事案件,1259
第一次,1253
浦发银行,1252
农商,1242
理由,1226
解冻,1223
不详,1220
在内,1218
投资,1214
进,1213
其于,1210
中信银行,1207
程度,1202
多次,1200
最,1195
群里发,1195
大,1193
修复,1180
犯罪,1174
中心,1173
获利,1170
00,1168
管理员,1167
是否,1165
有个,1159
具体,1158
京东,1156
现场,1150
云南省,1146
企业,1143
三笔,1143
单子,1141
第六,1134
浏览,1131
密码,1128
流程,1120
获取,1119
好,1118
相信,1115
50,1111
一张,1105
持卡,1102
宣传,1097
补单,1095
涉嫌,1094
买,1092
第二次,1087
公安局,1085
消息,1082
邮储,1081
河北,1080
案件,1079
案犯,1078
贸易,1078
福利,1073
需,1071
搜索,1070
09,1069
手段,1066
商业银行,1065
系统,1064
觉得,1058
信群,1056
陆续,1054
发了,1051
出来,1050
2500,1049
发红包,1045
群众,1044
购物,1040
24,1036
朋友,1032
就让,1032
导致,1032
指导员,1031
15000,1030
商城,1024
58,1024
25,1023
8000,1022
两个,1022
浏览器,1017
28,1015
转到,1013
几单,1012
笔是,1010
收益,1005
江苏,1002
更,999
不了,998
快手,995
申请,992
几个,984
得到,984
~,981
专员,975
称其,971
均,969
上海浦东发展银行,963
进群,961
不到,958
一次,957
相应,957
看,956
下单,954
接待,954
记录,951
名字,946
刚,943
被拉进,941
27,936
张,935
奖励,933
前,928
200,925
第三次,920
认识,918
所接,917
广发,916
激活,915
支行,912
26,909
民生银行,903
群号,902
直接,901
信誉,900
三次,886
6000,884
盈利,884
指引,883
邀请,879
跟着,878
做刷,877
新,874
接称,872
招聘,872
开户银行,871
抢,868
快递,865
页面,865
知道,862
之间,858
ID,855
40000,854
充,854
拉入,852
失败,849
29,848
第一,846
必须,844
实际,843
输入,842
两次,840
作案,840
单群,838
领,832
--,832
带,830
绑定,827
单诈,826
qq,822
系,819
平安,818
40,817
晚上,809
出,808
兴业银行,803
服务,801
上班,798
中国民生银行,796
过程,795
08,791
诱导,790
音点,789
连续,789
31,788
其拉进,780
调查,773
室,767
诈案,767
类型,767
相关,764
返回,761
大额,760
还要,758
网友,757
接警,752
看见,750
全部,746
界面,743
重新,740
打赏,737
`,735
不对劲,734
股份,732
高,729
38,728
流水,724
三个,724
第七,720
4000,720
店铺,719
怀疑,715
中午,713
总计,708
叫做,706
想要,699
在家,697
缴纳,696
涉诈,696
派发,690
加上,689
卡主,686
帐号,683
转过,682
职业,681
其发,678
主播,677
用户,674
合计,674
。（,672
第三,670
天津,667
扫,666
退款,666
35,658
开展,658
有发,658
取,657
18000,655
图片,653
给我发,646
项目,646
形式,645
公安机关,644
全民,643
王,642
同城,640
安装,636
打榜,635
四笔,635
一下,634
大队,633
建筑工程,630
安徽省,630
被拉入,630
指挥,629
总共,625
涉及,623
），,622
仍,622
聊天记录,622
银,622
拨打,620
点开,615
01,612
抢红包,612
明星,604
现金,604
群已,604
今天,603
帮,601
800,600
32,599
然在,597
社区,593
性别,588
采集,588
33,587
45,586
匹配,584
农行,580
8800,580
山东省,578
36,578
