Word,Count
转账,6315
卡号,2437
账户,2400
账号,2240
银行,2126
银行卡,2121
QQ,2061
视频,1973
APP,1706
裸聊,1661
微信,1610
手机,1515
进行,1398
下载,1386
聊天,1331
添加,1189
信息,1068
上,1067
好友,1039
软件,1038
。-,1002
号,950
转,877
中国,841
嫌疑,832
通讯录,805
中国农业银行,783
联系,782
QQ号,761
需要,758
开户,727
支付宝,721
中国建设银行,682
笔,671
邮政储蓄,622
中国银行,619
充值,614
家中,604
链接,599
使用,598
客服,574
交友,564
提现,554
1,550
发给,547
建设银行,544
认识,536
收款,529
农村,528
继续,513
不,505
遂,501
。，,499
金额,495
内,493
万,487
农业银行,485
秒,480
中,477
10,476
已,467
2,461
卡,459
方式,455
陌生,454
.,452
网上,452
间,445
信用社,436
自称,432
操作,418
诈,410
注册,399
中国工商银行,395
删除,391
还,390
指定,387
没有,369
开户行,363
网址,363
威胁,358
20000,358
支付,356
3,356
招商银行,350
双方,349
发送,348
10000,347
敲诈勒索,342
工商银行,338
投资,337
平台,336
11,335
涉案,330
然,330
截图,329
网站,327
一名,322
有限公司,320
民警,317
点击,315
账,314
网络,314
情况,313
转给,312
20,312
约炮,308
共,294
任务,294
加,293
期间,292
12,291
所称,291
农业,290
4,285
23,285
银行账号,283
派出所,283
里,280
app,276
21,272
5,272
8,271
5000,271
男子,267
工作,266
女子,260
9,260
22,258
15,256
网友,252
约,246
建设,244
照片,243
下,243
会员,242
19,242
收到,241
发来,239
敲诈,235
先,235
开,233
完成,228
购买,224
才能,222
都,222
了解,221
理由,217
二维码,214
工商,214
14,212
意识,212
聊,212
看到,211
手机号,210
16,209
交通银行,207
110,206
候,205
3000,202
想,200
上网,200
朋友,199
点,199
左右,197
17,192
岁,191
快递,191
便,190
过程,189
6,186
发送给,185
转款,185
多次,184
7,183
13,181
发,179
告诉,178
扫码,177
名为,177
找,176
里面,176
一款,176
玩,175
18,174
其于,174
公司,173
抖音,172
第一笔,172
感觉,171
再,171
会,169
看,166
关系,164
同意,162
报称,161
没,160
第二笔,159
居民,159
网银,159
一笔,157
邮政,157
去,156
户籍,154
现,154
陌陌,153
已经,151
无,148
刷,148
未,148
50000,148
进入,145
一共,145
登录,145
害怕,144
快手,143
指示,142
第三笔,141
接,138
提出,138
经查,138
订单号,138
数据,137
赚,137
现住,137
附近,137
才,135
30,135
买,134
0,134
次,134
获取,132
汇款,130
qq,129
名叫,129
现在,128
激活,128
联合社,127
转入,127
名下,126
反诈,126
包裹,124
显示,123
一起,123
份,122
价值,122
邀请,121
凌晨,120
员,119
提示,119
浏览,118
00,118
码,118
单,118
1000,117
住址,117
费用,117
汉族,116
结束,116
要挟,116
男女朋友,116
打开,115
第四,115
在内,115
小,115
女性,111
群,111
2000,111
6000,110
成功,108
单位,108
内容,107
信以为真,106
帮,106
该软件,106
陆续,106
资金,105
立即,105
图片,105
名称,103
询问,103
邮箱,103
问,102
返利,101
缴纳,100
推荐,100
30000,100
登陆,100
晚上,100
帮忙,99
姓名,99
炮,98
）-,96
广告,95
所在地,95
安装,94
见面,94
15000,94
好,94
支行,94
24,94
付款,92
交易,92
绑定,92
上面,92
安装包,91
一张,91
犯罪,91
系,91
告知,90
5800,90
笔是,90
不能,90
40000,90
返还,89
27,89
挂断,89
一段,89
4000,88
之前,88
现金,87
云南省,87
交通,87
涉嫌,87
商业银行,87
50,86
网页,86
索要,85
服务,85
不详,84
指导,84
认证,84
8000,83
再次,83
一条,83
浦发银行,83
邮寄,82
短信,82
第五,82
电信,81
探探,81
需,81
接待员,81
觉得,81
三次,81
结识,81
色情,80
下午,80
拨打,80
交,80
接受,79
发生,79
具体,79
过来,78
办理,78
位于,78
25,78
发觉,77
直接,77
之间,77
完,76
引导,76
错误,76
一级,76
聊天记录,76
类型,76
裸露,76
农商,75
成为,75
身份,75
第一次,75
所接,75
刑事案件,75
想要,74
语音,74
对象,74
截取,74
不雅,73
公安局,73
中信银行,73
指令,73
互相,73
一下,73
密码,72
总计,72
02,72
修复,72
冻结,72
返现,72
处理,72
搜索,71
主动,71
操作失误,71
进去,71
均,70
04,70
介绍,70
帮助,70
申请,70
转完,69
相关,69
海关,69
国外,69
