Word,Count
转账,26781
卡号,13625
账户,13549
投资,13445
账号,12818
APP,12012
银行,11595
银行卡,10928
提现,10020
下载,8705
有限公司,8326
进行,6831
微信,6619
客服,6539
上,5878
QQ,5862
平台,5804
充值,5596
手机,5209
软件,5083
操作,5015
信息,4967
中国农业银行,4913
链接,4549
嫌疑,4514
中国建设银行,4394
。-,4291
中国,4144
网址,4075
万,3967
联系,3926
添加,3713
购买,3667
号,3623
聊天,3583
赚,3537
中国银行,3476
10,3471
网站,3426
股票,3378
内,3369
笔,3235
转,3142
注册,3055
群,3037
开户,3027
金额,2933
炒股,2928
理财,2901
农业银行,2874
好友,2844
邮政储蓄,2796
建设银行,2784
.,2673
诈,2668
农村,2614
10000,2539
11,2474
使用,2469
12,2442
需要,2433
1,2428
秒,2399
家中,2385
9,2334
开户行,2258
中,2234
卡,2219
间,2161
信用社,2067
8,2011
里面,1976
不,1959
2,1948
方式,1934
收款,1918
证券,1908
QQ号,1902
网上,1888
里,1864
自称,1863
然,1850
已,1834
认识,1778
推荐,1752
中国工商银行,1746
20000,1743
app,1741
账,1740
继续,1735
没有,1729
3,1719
涉案,1718
买,1716
50000,1693
都,1642
5,1633
看到,1600
陌生,1583
点击,1576
期间,1559
指定,1542
银行账号,1532
遂,1524
农业,1517
工作,1464
15,1457
。，,1427
科技,1414
20,1409
5000,1402
14,1399
共,1391
进入,1383
建设,1375
13,1373
商贸,1365
意识,1340
名为,1322
16,1308
工商银行,1307
派出所,1304
显示,1300
4,1291
开,1280
登录,1260
介绍,1254
下,1249
网络,1247
指导,1241
上海,1232
候,1224
情况,1222
群里,1193
30000,1187
7,1187
二维码,1186
还,1183
任务,1170
告诉,1161
6,1158
抖音,1154
加,1144
挣,1139
发送,1136
交通银行,1127
民警,1120
收到,1117
删除,1107
先,1094
点,1092
招商银行,1084
项目,1073
公司,1063
左右,1047
贸易,1042
想,1041
17,1039
网银,1032
成功,1031
第一笔,1029
指示,1023
收益,1021
会,1018
现,1016
期货,1013
发,1003
一起,1003
名叫,998
18,989
群内,986
第二笔,979
才能,970
提示,968
19,959
盈利,955
资金,952
了解,950
登陆,942
网页,940
返利,938
所称,937
支付宝,935
再,927
转给,916
朋友,911
男子,905
不能,902
无,880
感觉,879
一共,876
一款,869
反诈,860
1000,847
带,840
虚假,837
才,835
转款,835
岁,832
一名,832
网友,810
现在,808
返款,807
第三笔,804
转入,802
去,795
21,787
已经,782
老师,781
帮,779
名下,774
完成,769
北京,761
上面,757
便,751
缴纳,745
30,730
居民,722
进去,707
邮政,707
企业,702
一笔,701
员,700
余额,697
视频,690
3000,679
未,676
名称,676
交易,673
问,671
快手,670
工商,669
40000,663
发给,661
密码,659
22,655
户籍,654
发来,652
110,652
货币,651
接,651
打开,650
相信,644
住址,638
出来,634
找,632
现住,631
手机号,628
第四,627
之前,627
每天,624
聊,622
信以为真,615
报称,609
虚拟,607
加入,600
小,591
其于,590
冻结,589
基金,589
跟着,584
助理,580
联合社,573
中心,572
广告,564
看,564
短信,560
陆续,555
玩,555
群聊,555
次,553
23,552
告知,552
）-,544
本金,535
2000,529
支付,529
上网,528
商业银行,512
群号,511
汉族,511
双方,511
经查,508
好,508
份,507
支行,506
浏览器,506
单位,504
一级,503
电信,503
24,498
截图,495
09,495
第五,493
中信银行,492
保证金,490
股份,487
涉嫌,475
26,474
建筑工程,473
发觉,470
该软件,467
笔是,467
数字,466
平安,465
微信群,464
汇款,464
农商,460
25,459
一条,459
15000,458
不了,456
再次,455
币,453
交友,451
几天,451
询问,450
过程,446
黄金,444
觉得,443
价值,435
多次,434
关注,433
下午,432
接受,432
28,432
张,430
江苏,428
qq,426
两笔,422
申请,421
投,420
ID,420
27,419
宣传,419
投入,415
同意,411
扫码,408
获得,408
两个,404
获利,404
00,404
500,403
天津,403
选择,402
导师,402
有个,401
具体,397
引导,397
数据,397
29,395
解冻,393
产品,393
所在地,392
初,392
国际,390
指令,388
怀疑,388
100,387
交,386
没,381
畅聊,381
知道,380
拉,379
浦发银行,378
第一次,377
绑定,377
立即,375
单,375
第六,374
部队,374
返现,373
很,372
完,371
姓名,371
交易所,371
刑事案件,370
帮忙,370
河北省,369
犯罪,368
炒,366
泡泡,363
微博,360
发布,358
公安局,357
公众,356
就让,356
高,356
咨询,355
在内,350
一下,350
返还,349
60000,348
广发,347
退款,346
手段,345
系统,344
兴业银行,343
上午,343
内部,342
不详,342
上班,340
信任,339
直播,338
交流,337
解散,336
现场,336
相关,336
刷,334
集团,333
买卖,332
帮助,329
山东,327
在线,327
广西,326
河北,325
管理,325
教,325
50,324
浏览,323
转到,323
金,323
网络科技,321
8000,321
内容,320
上海浦东发展银行,319
发生,319
一张,317
会员,316
所接,316
一段,315
直到,314
大,313
佣金,310
中国邮政,310
操作失误,310
之间,310
接称,309
网,307
指引,306
浙江,304
记录,304
想要,303
程度,303
08,302
交通,302
页面,300
不到,300
案件,300
名字,300
学习,299
金融,299
诱导,298
扫描,296
6000,296
正常,295
服务,293
前,293
准备,292
不上,291
提出,291
40,291
消息,291
转完,290
作案,289
第七,289
理由,288
第二次,287
提,286
发展,286
今天,286
全民,285
系,281
帐号,278
最,278
晚上,277
持卡,277
用于,275
国家,274
加上,273
退费,272
新股,272
一次,271
邮储,270
充,270
抖,269
--,269
错误,269
比较,267
建筑,267
均,266
输入,265
新,265
快,262
机构,262
取,261
邀请,261
称其,261
需,260
开户银行,259
两次,259
活动,258
调查,258
云南省,258
4000,256
合计,256
身份,256
赚取,255
跌,255
80000,255
31,254
发了,254
中国民生银行,254
利润,253
私信,253
称有,253
刚,252
管理员,251
群众,250
付款,249
文化,248
三笔,248
事密达,247
案犯,245
工程,245
广州,244
实际,244
天,244
建材,243
出,242
实业,242
农行,241
理财产品,241
全部,241
民生银行,240
。（,240
关系,240
事情,239
接警,239
搜索,237
25000,237
深圳市,237
确实,235
不对劲,235
其发,235
是否,235
类型,233
直接,232
获取,232
电子商务,231
钉,231
讲,231
赔,230
公安机关,230
资本,230
看见,229
界面,229
群主,228
室,227
女子,227
群中,227
码,227
挺,227
失败,226
职业,226
贵州,226
军,224
70000,224
很多,224
应用,223
性别,223
劵,222
款,222
学费,221
建行,221
总计,220
总共,220
中信,220
给我发,219
进,219
股票投资,219
K,218
58,218
35,217
涉诈,217
参与,215
办理,215
夸克,214
行,213
第八,211
退,211
版,210
32,209
主动,209
第三次,209
外汇,208
南京,207
打不开,207
银,207
36,206
对公,206
珍爱,205
01,205
涨,205
拨打,205
诈案,204
并称,204
尝试,203
然在,203
48,203
订单号,202
采集,202
聊天记录,202
每次,202
课程,202
安装,201
卡主,201
华泰,200
大概,200
类,200
当天,200
听,199
买入,199
~,198
处理,198
37,198
叫做,197
香港,197
300,197
相应,197
】-,195
39,195
深圳,195
涉及,195
教育,195
52,195
底,194
33,194
43,194
44,193
音上,191
今,191
.-,190
方便,190
江苏省,190
指挥,190
利息,190
51,189
查询,189
可能,189
只,189
9000,188
第二天,188
湖北,188
回款,188
0,187
45,186
一天,186
07,186
商城,185
学历,185
经理,185
02,185
资产,184
沟通,184
材料,183
04,183
查看,183
稳赚,183
河南,183
知识,183
用户,183
海通,182
卖出,182
中旬,181
拉进,181
如下,181
子,181
陌陌,181
18000,181
取出,180
200,179
探探,179
34,179
06,179
55,179
心动,179
表示,178
46,178
随即,178
35000,178
清退,177
流水,177
招商,176
得知,176
返,176
别是,176
江西,176
47,176
歌,176
38,176
更,175
专员,175
漏洞,175
核实,174
海南,173
山西,173
42,173
加其,173
位于,173
广东,173
其用,173
讲解,172
49,172
开展,171
三次,171
老,171
12000,171
商品,170
家里,170
装饰,169
手机网,169
讲课,169
45000,168
App,168
万余,167
名义,167
现金,167
问题,166
大队,166
），,166
59,166
买涨,166
微脉,165
宁波,165
找到,165
山东省,165
互相,164
约,164
57,163
接待员,163
其本,162
重庆,162
体现,162
7000,161
类似,161
云南,161
第九,160
安装包,160
华夏银行,160
交纳,160
提取,160
所得税,159
社区,159
李,159
然其,159
农信,158
几次,157
兴业,157
点开,156
安徽省,156
名,156
41,156
刷单,156
红包,155
56,155
然让,155
频道,155
电子科技,154
四笔,154
商业,154
东方,154
上海银行,153
受理,153
形式,153
03,153
我用,153
积,152
受,152
群名,152
达,152
index,152
手上,152
广东省,151
证据,151
有限责任,151
微信名,150
53,150
面,150
政治面貌,150
财富,150
青岛,149
陆陆续续,148
教其,148
涨跌,148
其拉进,148
伊对,148
编号,148
其微信,147
自行,146
在家,146
`,145
侦查,144
事,144
经办,144
证,144
累计,144
认证,143
第四次,143
能源,143
正规,142
54,142
导致,142
男女朋友,141
贷款,141
滇,141
下单,140
打款,140
王,140
二,140
内部消息,140
声称,139
越,139
中原,139
账为,139
无业,139
方案,139
必须,138
帮其,138
吉林,138
我队,138
引诱,138
圈,138
文化传媒,137
进群,137
手续费,137
卡向,136
初中,136
彩票,136
得到,136
05,136
流程,136
www,135
卡卡,135
能够,135
兼职,135
费用,134
预警,134
正在,134
村镇,134
接报,134
光大银行,134
所有,134
中午,134
现已,133
证券公司,133
群里发,133
三个,133
大连,133
富,132
试试,132
员工,132
等到,132
回报,132
制作,132
称要,132
上当,131
新能源,131
加大,131
往里面,130
过来,130
蝙蝠,130
不同,129
90000,129
四川,129
阳光,129
方,129
销售,128
笔向,128
不要,128
工具,127
河南省,127
红,127
直播间,127
出警,127
目前,127
渤海,127
第十,126
安徽,126
还要,125
其加,125
16000,125
包,125
证件,125
传媒,124
路,124
刷抖音,123
劳务,123
下载安装,123
爱,123
AW,123
13000,123
以上,122
股,122
相亲,122
笔录,121
经济,121
经常,121
20%,121
图片,120
审核,120
其向,119
投了,119
激活,119
同样,118
刘,118
内蒙古,118
仍,117
谎称,117
住,117
加微信,117
对象,117
先是,116
参加,116
百之,116
1500,116
两,115
转过,115
不够,115
商店,115
确定,115
费,115
班长,114
领取,114
填写,114
社交,114
尾号,114
优惠券,114
退还,114
2022,114
负责,114
微核,114
陕西,114
百度,114
出现,113
华夏,113
联社,113
几个,112
花,112
中信证券,112
明细,111
不错,111
技术,111
公益,111
结识,111
login,110
拉入,110
加为好友,110
别向,110
别为,110
通道,110
电影,110
成为,110
交易平台,109
想着,109
上去,109
析,108
接待,108
然给,108
黑,107
利用,107
内有,107
来到,106
汽车,106
：-,106
账号密码,106
11000,106
重新,106
网上银行,106
杨,105
随在,105
成,105
14000,105
大额,105
至今,105
市场,104
哈尔滨,104
高额,104
山西省,104
地点,104
600,103
其拉入,103
成都,103
所谓,103
女性,103
手机软件,103
突然,103
22000,102
苏州,102
股市,102
大家,102
建筑材料,102
世纪,102
其称,102
随其,101
开通,101
云,101
升级,101
多万,101
确认,100
认购,100
万多,100
程序,100
美,100
原因,100
。至,100
贵阳,100
极速,100
休息,99
杭州,99
民生,99
回复,98
转帐,98
本市,98
总,98
国泰君安,98
一会,98
r,98
请求,98
规划师,97
回,97
比特,97
鑫,97
大学,97
四次,97
群已,97
实名,97
第十一,97
短,97
96110,96
当事,96
吉林省,96
开卡,96
家,96
本名,96
wxid,96
农,96
个体,96
总行,95
删,95
通,95
察觉,95
兑换,95
税,95
上述,95
互加,95
同事,94
通知,94
26000,94
多聊,94
队,94
资源,94
带领,93
实施,93
修复,93
下注,93
记得,93
余,93
VIP,93
28000,93
报立,93
储蓄卡,93
帐户,93
还给,93
卖,92
男性,92
"。,",92
里边,92
内幕消息,92
投注,92
两天,92
扫,92
UC,92
头条,92
登入,92
农村信用,91
当兵,91
家住,90
几笔,90
入金,90
亏损,90
异常,90
初中文化,90
并发,90
三,90
推送,89
合作,89
归属,89
东西,89
信,89
录入,89
这笔,89
本案,89
pages,89
通讯,89
恋爱,89
钟,88
主要,88
发过来,88
炒股票,88
第五次,88
信群,88
笔于,88
方信,88
过去,88
栋,88
故来,87
平,87
就加,87
续,87
辽宁,87
光大,87
电子,87
搞,87
报,87
早上,87
手,87
认为,87
指导老师,87
蚂蚁,86
走,86
一点,86
接触,86
然他,86
这次,86
物品,86
承诺,86
回来,86
36000,86
保证,86
请,85
甲,85
连接,85
处,85
Ｑ,85
浙商,85
怎么回事,85
抢,85
联合,84
前期,84
21000,84
闲聊,84
生活,84
移动,84
到期,84
专门,84
兴趣,84
中国光大银行,84
恩爱,84
私聊,84
派,84
课,84
局,84
团队,84
观看,84
申购,84
昆仑,84
最近,83
关闭,83
信用联社,83
余万,83
同花顺,83
武汉,83
汇,83
对冲,83
差价,82
记不清,82
一定,82
其想,82
存在,82
我局,82
有发,82
冒充,82
这是,81
照片,81
闲鱼,81
19000,81
朋友圈,81
账称,81
涨停,81
一位,81
问其,81
求助,81
母亲,81
第二个,81
额度,80
止付,80
迅速,80
上市,80
弄,80
达到,80
自动,80
取现,80
湖南,80
维护,80
用来,80
网银向,80
永,79
一微信,79
陈,79
对应,79
返回,79
称其于,79
辖区,79
智慧,79
郑州商品交易所,78
博彩,78
大专,78
展开,78
属于,78
转出,78
听课,78
期,78
去向,78
办公,78
到达,78
17000,78
五笔,77
内幕,77
登记,77
福利,77
交税,77
语音,77
卡给,77
取得,77
该群,77
指数,77
答应,77
1200,77
佳缘,77
产生,76
万到,76
等待,76
方法,76
老公,76
其才,76
区,76
第一个,76
专业,76
赚点,76
被拉入,76
华龙,75
一万,75
看不到,75
行情,75
称于,75
处警,75
上加,75
思语,75
账是,75
选项,75
微博上,74
晚,74
报名,74
违规操作,74
多笔,74
客户,74
30%,74
封,74
USDT,73
享,73
街道,73
剩下,73
23000,73
方面,73
增加,73
天津市,73
甘肃,73
段,73
充了,73
幢,73
38000,73
工行,72
吴,72
其先,72
点赞,72
32000,72
小红书,72
追加,71
只能,71
渠道,71
第一,71
被拉进,71
税款,71
同城,71
其便,71
A,71
注销,70
结束,70
值班,70
进不去,70
48000,70
拒绝,70
国药,70
订单,70
医药,70
中行,70
赞,70
验证,69
居住地,69
有加,69
多个,69
却,69
踢,69
27000,69
先向,69
其为,69
详情,69
办法,69
大小,69
2500,69
柳州,69
清楚,69
湖北省,69
资料,68
淮安,68
城,68
拟立,68
退休,68
培训,68
淘宝,68
方知,68
周,67
居住,67
不让,67
小额,67
百合,67
真的,67
不少,67
有没有,67
老婆,67
24000,67
万左右,67
赶到,67
。【,67
第十二,67
杀猪,67
事实,67
卸载,67
由取,67
n,66
发消息,66
赌博,66
商家,66
评论,66
之称,66
不会,66
垫付,66
处置,66
附近,66
不是,66
Ｐ,66
风险,65
福建,65
所属,65
55000,65
取得联系,65
台州,65
总金额,65
价格,65
存,65
违规,65
镇,65
商行,65
租房,65
厦门,65
邮箱,65
试一试,65
齐鲁,64
昨天,64
心遇,64
一部,64
无声,64
案发,64
75000,64
以前,64
电脑,64
基金会,63
信誉,63
反映,63
台,63
10%,63
约炮,63
抱,63
是不是,63
。称,63
3500,63
苹果,62
假借名义,62
千,62
忘记,62
共享,62
教学,62
直至,62
周期,62
游戏,62
南昌,62
奖励,62
以为,62
卡里,62
常,62
浦东发展银行,62
60,61
现该,61
首创,61
入,61
发送给,61
成员,61
主播,61
WTAM,61
中有,61
亲戚,61
id,61
49000,61
二十,61
石油,61
开源,61
前来,61
讲师,60
纹,60
未能,60
密信,60
第三方,60
步骤,60
０,60
号楼,60
暂住地,60
明,60
过防诈,60
刑事,59
药材,59
京东,59
第六次,59
四,59
见,59
连本带利,59
建议,59
供应链,59
五次,59
感兴趣,59
剩余,59
刑侦,59
桂花,59
虚构,59
账单,59
感情,59
试着,59
类诈,58
33000,58
盘,58
接来,58
中队,58
免费,58
该案,58
浙江省,58
拟作,58
其要,58
立,58
酒店,58
兰州,58
四个,58
少,58
智能,58
代,57
让给,57
原油,57
美金,57
指导员,57
添,57
就要,57
4500,57
私募,57
曾,57
报在,57
超,57
65000,57
长沙,57
基本,57
江南,57
稳定,57
组,57
通话,57
