Word,Count
转账,18874
账号,10317
微信,9455
账户,7738
银行卡,7089
卡号,6927
银行,6856
联系,6628
需要,5011
客服,4998
QQ,4889
购买,4722
信息,4554
手机,4377
添加,4275
上,4230
游戏,4068
嫌疑,3708
支付宝,3507
APP,3506
。-,3498
号,3210
进行,3013
平台,3002
转,2842
支付,2619
没有,2615
交易,2514
提现,2409
中国,2337
诈,2204
中国农业银行,2057
充值,2039
下载,2037
自称,2033
QQ号,2003
操作,1937
使用,1914
中国银行,1878
有限公司,1814
金额,1814
收到,1807
好友,1799
开户,1773
遂,1705
内,1696
不,1693
方式,1684
邮政储蓄,1676
家中,1669
中国建设银行,1648
链接,1608
已,1571
。，,1554
闲鱼,1496
10,1492
1,1491
二维码,1482
收款,1479
还,1404
网址,1402
冻结,1381
退款,1371
网上,1368
解冻,1363
网站,1358
.,1358
2,1334
然,1328
12,1316
农业银行,1315
群,1309
买,1293
指定,1290
卡,1282
5000,1281
工作,1274
笔,1274
陌生,1272
继续,1266
秒,1258
11,1253
农村,1236
中,1232
卖,1225
建设银行,1203
开户行,1201
加,1181
看到,1176
账,1175
情况,1174
意识,1148
再,1143
涉案,1140
付款,1131
未,1101
公司,1097
民警,1089
15,1083
14,1076
扫码,1058
才能,1048
先,1046
显示,1034
16,1029
中国工商银行,1027
万,998
3,993
间,990
派出所,986
注册,983
信用社,981
9,973
共,968
价格,952
截图,952
发,951
去,945
已经,943
办理,940
银行账号,937
网络,936
10000,933
发货,930
13,928
软件,911
里,900
成功,897
发送,894
20,891
找,889
17,881
告诉,878
采购,877
搜索,877
想,867
出售,861
订购,855
罐头,851
聊天,844
8,834
3000,826
员,826
岁,826
资金,823
手机号,823
短信,813
所称,811
18,809
之前,809
缴纳,802
了解,801
工商银行,792
发给,784
问,774
都,770
订单号,770
厂家,768
现,767
保证金,767
110,766
点,744
1000,743
左右,742
候,741
便,741
转给,740
京东,739
会,731
招商银行,731
推荐,730
开,727
点击,726
20000,718
4,714
网银,711
一张,710
才,703
户籍,702
无,697
下午,690
19,683
居民,680
现住,666
5,664
里面,653
询问,653
不上,652
发来,648
再次,646
完成,646
服务,646
农业,646
进入,644
费用,641
定金,640
信以为真,638
建设,637
反诈,636
视频,629
感觉,627
退,618
交通银行,611
价值,606
告知,604
抖音,604
接,602
2000,601
500,600
双方,596
第一笔,593
玩,592
期间,592
好,586
小,584
第二笔,571
虚假,571
北京,570
朋友,568
帮忙,566
报称,561
汉族,558
住址,558
现在,558
app,557
一共,556
开通,556
网页,551
提示,549
下,545
21,545
购物,539
30,539
百度,538
单,537
）-,533
称要,526
一笔,520
交,516
食品,516
错误,513
一起,505
指示,505
猫,503
冒充,503
删除,503
qq,492
一条,491
订单,491
在内,490
上面,490
名为,488
货款,486
30000,484
需,483
所在地,481
经查,478
快手,477
退费,476
发觉,473
扫描,470
教育,470
单位,470
22,467
其于,464
绑定,464
商家,463
相信,460
6,457
没,457
帮,451
商品,448
广告,447
理由,447
同意,446
牛肉,445
箱,442
认识,441
米饭,440
交易平台,433
名称,432
转完,431
企业,431
邮政,428
1500,427
不能,426
名下,422
输入,421
工商,420
汇款,420
卖家,416
转款,415
记录,414
返还,414
上网,411
学费,410
拨打,408
考试,407
驾驶证,405
电信,404
23,404
第三笔,402
涉嫌,401
中心,400
买家,399
想要,398
6000,397
50,396
一名,393
登录,390
立即,390
激活,389
称其,385
7,385
导致,384
码,384
4000,384
售卖,383
佛跳墙,381
一批,378
证券,376
发布,373
次,372
怀疑,371
张,365
介绍,362
发生,361
拉,361
投资,360
自热,360
两笔,358
是否,356
直接,355
货,355
两个,355
转入,352
程度,352
一下,348
过去,347
名叫,346
现场,346
科技,346
咨询,345
供货商,345
不详,344
店铺,344
贷款,344
系,344
老师,343
指令,342
手段,342
支行,339
15000,338
余额,338
男子,337
退还,334
看,332
准备,329
相关,326
平安,326
打开,326
一款,325
处理,324
部队,323
问题,321
挂,320
刷,319
查询,317
100,317
物品,316
供应商,315
群里,314
驾照,314
上午,314
接受,312
身份,310
报名,309
内容,307
科目,307
填写,307
姓名,306
驾校,306
案犯,306
款,306
申请,305
找到,305
加上,304
群号,304
觉得,303
就让,303
任务,302
多次,301
24,298
所接,298
密码,298
淘宝,296
快递,296
50000,295
加入,295
刑事案件,294
完,294
指导,294
作案,293
表示,292
语音,292
金融,289
咸鱼,288
群内,288
沟通,285
群众,283
黑,283
转到,279
8000,279
抗原,279
进去,279
并称,277
费,275
宣传,274
认证,273
消息,272
发了,271
物资,271
案件,270
件,270
垫付,270
帮助,269
母亲,268
扫,267
下单,266
联合社,265
失败,264
持卡,262
不到,262
两次,260
第四,259
接警,259
图片,257
晚上,257
拍,256
之间,256
过来,255
走,255
红酒,255
农商,254
文化,253
取,253
在线,252
一级,252
具体,251
公安局,250
还要,247
武警,247
系统,247
操作失误,247
接称,246
200,246
转过,245
25,244
货物,244
份,243
浏览,242
照片,242
网友,241
犯罪,241
开展,239
机构,239
装备,238
登陆,237
消防队,236
小红书,236
商业银行,235
40,235
上班,235
不对劲,234
台,234
消防,233
第一次,231
又称,231
押金,230
00,229
订餐,228
会员,228
业务,227
全民,227
不了,227
ID,227
编号,227
红包,225
流水,225
其发,224
店里,223
。（,223
皮肤,222
交纳,221
有个,221
退回,221
查看,219
会议,218
金,218
商户,217
最,217
东西,217
回复,216
今天,216
wxid,216
工具,215
账单,214
过程,214
订,213
26,211
验证码,210
核实,210
），,210
诈案,209
约定,208
中午,208
课程,207
材料,207
09,207
承诺,207
私信,206
界面,206
海洋,206
600,205
李,205
中国邮政,204
保障,202
职业,200
均,200
接报,200
页面,199
证书,199
出来,198
28,197
中信银行,197
学历,196
帮其,195
调查,195
代购,195
重新,194
事情,194
引导,194
花,194
必须,194
领取,193
知道,193
提出,193
验证,192
商量,192
用于,192
A,192
浦发银行,191
800,191
政治面貌,190
帐号,189
全部,189
苹果,188
制作,187
300,187
批发,186
第五,185
出,185
三,185
三次,185
一次,184
微信名,183
邮箱,182
29,182
兴业银行,181
上海,181
名字,180
玩游戏,180
采集,180
协议,179
尾款,179
约,178
其称,178
其加,178
27,177
确认,177
清退,177
第二天,177
前,176
群聊,175
打款,175
三笔,175
总计,175
客户,174
合计,174
声称,174
消费,174
~,174
解除,173
付,173
抖,173
其本,173
培训,173
指挥,172
通话,172
位于,171
陆续,170
物流,170
电子,170
私聊,169
随即,168
谎称,167
家里,166
腾讯,166
然其,166
返利,166
用户,165
买卖,165
清单,165
室,165
自行,165
第二次,164
包,164
仍,164
大队,164
银,163
交通,163
事宜,162
7000,162
40000,161
销售,161
并未,159
原因,157
其微信,157
3500,157
钉,157
只,157
开户银行,156
推送,156
订货,156
店,156
产品,156
31,156
选择,156
这笔,155
类,155
教练,155
股份,154
性别,154
4500,154
江苏,154
取消,154
国家,153
儿子,152
流程,152
安全,151
手机游戏,151
45,151
实际,151
保密,151
协商,151
虚拟,150
称有,150
约炮,150
不够,150
消费者,149
现金,149
赚,149
笔录,149
摩托车,149
08,148
广发,148
新,148
返款,148
看见,147
子,147
报,146
--,146
其用,146
证件,145
大,145
男性,145
0,145
35,145
报名费,145
经理,144
备注,144
公安机关,144
贸易,143
主任,143
理财,142
01,142
采购员,142
上架,142
商城,142
论文,142
刘,142
快,141
转转,141
诱导,141
证据,140
订金,140
女儿,140
其拉黑,140
中铁,139
发过来,139
一会,139
合同,139
学习,138
负责,138
浏览器,138
微博,137
床垫,137
名义,137
注销,137
一家,137
武警部队,136
邮件,136
配电箱,136
2500,135
广东省,135
谈好,135
受理,135
当天,135
不用,135
12000,135
学校,135
音上,134
财务,134
大学,133
军用,133
给我发,132
异常,131
包过,131
游戏币,131
来电,130
返现,130
直到,129
加微信,129
手游,129
合作,129
聊,129
王,129
初中,128
可能,128
总共,128
商贸,128
直播,128
回,128
获得,127
朋友圈,127
消防大队,126
官方,126
问其,126
二,125
有没有,125
事,125
信用卡,125
主动,124
33,124
其向,124
局,124
老板,124
处,123
聊天记录,123
信任,123
矿泉水,123
受,122
安徽省,122
证,122
出现,122
额度,122
方,121
手机网,121
女性,121
云南省,121
审核,121
然让,121
然给,121
加其,121
还款,121
支队,121
指引,121
所谓,121
瞩目,121
邮储,120
回款,120
员工,120
涉诈,120
等到,119
9000,119
就加,119
领导,119
得知,118
广东,118
二手,117
父亲,117
杨,117
功能,116
`,116
学生,116
对接,115
关闭,115
1200,115
手续费,115
送,115
登记,114
共享,114
60000,114
衣服,114
出警,114
700,114
39,113
早上,113
笔是,113
正常,112
.-,112
数据,112
两张,112
一部,112
程序,111
报考,111
实名,111
实施,111
带,111
币,111
单号,111
我队,111
：-,111
32,110
网,110
侦查,110
索要,110
第三方,109
发表,109
其要,109
农行,109
收货,109
第三次,108
】-,108
第六,108
名,107
屏幕,107
剩下,107
储蓄卡,106
代考,106
虚构,106
交流,105
内有,105
考驾照,105
38,105
活动,105
几天,105
微信群,105
拿到,105
河北,105
至今,104
确定,104
涉及,104
不是,104
水泵,104
零头,104
在家,104
48,103
管理员,103
谈,103
取得联系,103
充,103
网上银行,102
玩家,102
通讯,102
3800,102
形式,102
疫情,102
18000,102
机票,102
资料,102
确实,102
一台,101
。至,101
经营,101
管理,101
察觉,101
陈,101
回来,101
答应,101
黄,100
空调,100
牌,100
商定,100
电脑,100
休息,100
让给,100
路,100
中队,100
网银向,99
互加,99
事实,99
酒店,99
爱,99
02,99
以前,99
上当,99
还给,98
假,98
6800,98
57,98
存在,98
沃尔玛,97
先交,97
附近,96
对冲,96
厂家直销,96
民生银行,96
进货,96
不会,96
升级,95
然在,95
上海浦东发展银行,95
免费,95
通知,95
三个,94
34,94
农信,94
高,94
班长,94
47,94
是不是,94
天,93
49,93
并发,93
请,93
抽奖,93
35000,93
苏宁,93
58,93
留言,93
36,93
转帐,93
设备,92
代理商,92
广州,92
明细,92
检测,92
5500,92
金条,91
1800,91
积,91
便宜,91
电动车,91
卡主,90
勤,90
工程,90
天津,90
25000,90
得到,90
云,90
52,90
安排,89
四,89
03,89
机,89
比较,89
所有,89
安装,89
网易,89
04,89
类型,89
差价,89
我用,88
有误,88
风险,88
由取,88
150,88
明天,88
对公,88
以为,88
面,88
大概,88
电缆,88
一份,88
四笔,88
数量,88
其便,88
就要,88
42,88
帐户,88
进,87
世界,87
53,87
正在,87
46,87
行,87
退还给,87
猪肉,87
1600,87
渠道,87
34000,86
家,86
丈夫,86
河北省,86
刷抖音,86
代办,86
提,86
个体,86
组织,86
门票,86
推,86
证明,85
失联,85
荣耀,85
16000,85
网络游戏,85
发送给,85
赔,85
网课,85
收取,85
无业,85
晚,85
43,85
07,84
随其,84
Q,84
浙江,84
电商,84
归属,84
国际,84
电池,84
提升,83
称想,83
贴,83
提取,83
先付,83
进群,83
队,83
5800,83
华夏银行,83
两,83
王者,82
解散,82
吉林,82
点开,82
称因,82
妈妈,82
不要,82
05,82
44,82
写,82
理赔,81
授权,81
自动,81
本市,81
光大银行,81
报在,81
54,81
签订,81
中学,81
群主,81
酒,81
集团,81
定,81
阳光,81
36000,80
外挂,80
120,80
推脱,80
认为,80
中介,80
云南,80
返回,80
网络科技,80
中国民生银行,80
老公,79
口令,79
迅速,79
车,79
37,79
社区,79
代,79
方便,79
贷,79
假借名义,79
59,79
办,79
建行,78
先行,78
之称,78
业务员,78
24000,78
湖北,78
征信,78
06,78
军,78
退回来,77
送到,77
推广,77
卡向,77
到货,77
收购,77
3600,77
51,77
现勘,76
司机,76
55,76
正规,76
优惠,76
上述,76
获取,76
剩余,76
别是,76
80,76
​,76
云闪付,76
款项,76
手上,75
闲,75
到达,75
4800,75
现已,75
南京,75
农村信用,75
专员,75
汽车,75
零,75
弄,74
微信里,74
考,74
代理,74
房间,74
未能,74
900,74
13000,73
品牌,73
来到,73
很多,73
今,73
录入,73
第一个,73
广汇,73
该案,73
手,73
和平,73
其才,73
不接,73
谈妥,73
求助,73
荷包,72
工程师,72
下来,72
斤,72
期,72
华泰,72
初中文化,72
发消息,71
委托,71
提交,71
四次,71
孩子,71
阿里巴巴,71
大专,71
延迟,71
预定,71
女子,71
大专文化,71
流水号,71
如下,71
报立,71
李红,71
成,71
处警,70
称其于,70
住,70
主播,70
400,70
。接,70
POS,70
电子卡,70
这次,70
相应,70
地点,70
反映,70
刷单,69
明,69
每个,69
凭证,69
假一,69
卡里,69
接待,69
床,69
辖区,69
关注,69
别为,69
福寿,69
www,69
招商,69
11000,69
车辆,68
海文,68
结清,68
方案,68
56,68
故来,68
凌晨,68
易购,68
报价,68
商行,68
目前,68
一并,68
东方,67
返,67
迟迟,67
公众,67
邮寄,67
参加,67
VIP,67
。左右,67
每次,67
学院,67
第二个,67
兼职,67
解决,67
卡卡,66
60,66
定位,66
第七,66
限额,66
宝,66
总,66
经销商,66
区,66
安徽,66
直播间,66
超,66
家住,66
重庆,66
相同,66
接待员,66
毕业,66
详情,66
续,66
预约,65
三天,65
新冠,65
吴,65
14000,65
担保,65
白条,65
有限责任,65
收,65
48000,65
销售部,65
商,65
化妆品,65
服务中心,65
精英,64
不回,64
超市,64
教,64
我加,64
叉车,64
助理,64
其先,64
经办,64
红烧,64
干事,64
工,64
28000,64
铭,64
保险,64
很,64
内部,64
小姐,64
27000,64
赶到,64
见面,63
试剂,63
商谈,63
礼品,63
本金,63
顾客,63
先是,63
没收,63
展开,63
送货,63
拟立,63
41,63
_,63
组,62
上卖,62
余,62
结算,62
秦皇岛,62
版,62
失去,62
YY,62
提前,62
能够,62
招生,62
优惠券,62
数字,62
去向,62
上门,61
方知,61
闲置,61
3300,61
通,61
一位,61
只能,61
矛盾,61
打来,61
看不到,61
缴费,61
全额,61
一次性,61
一万,61
经济,61
完毕,61
应用,61
属于,61
锂电池,61
值班,61
欲,61
清楚,60
同样,60
生意,60
尚德,60
镇,60
讲,60
其当,60
山东省,60
本案,60
保证,60
群中,60
却,60
扣款,60
居住地,60
栋,60
21000,59
钟,59
代买,59
利率,59
派,59
怎么回事,59
支箱,59
短信内容,59
该软件,59
饭店,59
等待,59
发票,59
师,59
营业执照,58
中有,58
每天,58
8800,58
炮,58
解封,58
这种,58
花费,58
2800,58
网店,58
项目,58
邀请,58
为名,58
同城,58
初,58
配合,58
即可,58
期刊,58
礼物,58
查找,57
6500,57
消防支队,57
信用,57
服务费,57
转出,57
对话框,57
妻子,57
拒绝,57
全款,57
一件,57
宿舍,57
窗口,57
一会儿,57
发展,57
以上,57
识别,57
中信,57
微粒,56
贵阳,56
深圳市,56
案发,56
懒猫,56
建筑,56
然他,56
山东,56
90000,56
折现,56
几个,56
"。,",56
兑换,56
累计,55
未成,55
块,55
影响,55
鞋子,55
天猫,55
叫做,55
座机,55
追回,55
赚取,55
。称,55
其想,55
倍,55
挂靠,55
加为好友,55
名片,55
卖东西,55
群名,55
搜,55
课,55
鱼网,54
收益,54
拟作,54
规划师,54
信誉,54
中间,54
０,54
上海银行,54
始终,54
P2P,54
33000,54
推给,54
想着,54
短,53
该游戏,53
底,53
45000,53
上传,53
一定,53
2022,53
卡内,53
商店,53
查,53
万余,53
位置,53
修改,53
状态,53
道具,53
导师,53
辅警,53
苏州,53
卖出,52
提高,52
80000,52
广西,52
一半,52
商业,52
朱,52
电瓶,52
工地,52
称于,52
借款,52
催,52
更,52
投屏,52
办法,52
尾号,52
垫,52
票,52
互相,52
肉,51
刑事,51
整,51
配件,51
评论,51
马上,51
盒,51
结账,51
其因,51
正好,51
追加,51
一微信,51
姐姐,51
第一,51
电箱,51
70000,51
看中,51
健康,51
32000,51
1300,51
此案,51
一辆,50
换,50
彩票,50
第四次,50
步骤,50
不足,50
当事,50
其交,50
最终,50
找回,50
基金,50
挂断,50
赶紧,50
3200,50
小店,50
头像,50
请求,50
不理,50
退货,50
出示,49
市,49
民生,49
湖北省,49
疫苗,49
增加,49
5000.1,49
江苏省,49
老,49
型号,49
手里,49
此事,49
老婆,49
蔬菜,49
自称为,49
考试费,49
未到,49
别向,48
19000,48
救援,48
私,48
乳胶漆,48
货源,48
低价,48
并加,48
宁波,48
布警,48
机器,48
学员,48
处置,48
英雄,48
完善,47
结束,47
同事,47
供货,47
3400,47
拍卖,47
海鲜,47
22000,47
其为,47
购,47
两天,47
甲,47
交友,47
技术,47
这是,47
心动,47
微博上,47
英语,46
达成,46
梦幻,46
牌自热,46
古龙,46
其是,46
贵州,46
蛋糕,46
ETC,46
汇,46
帖子,46
用来,46
修复,46
已婚,46
先给,46
19500,46
其问,46
17000,46
民用,46
我局,46
详细,46
借口,46
信,46
有点,46
提醒,46
遇到,46
留下,45
关机,45
多多,45
催促,45
部,45
回单,45
随在,45
7500,45
特征,45
佣金,45
大陆,45
居住,45
9800,45
】，,45
接通,45
听,45
达,45
：，,45
是因为,45
弹出,45
封,45
转至,45
厂商,45
全称,45
闪付,44
仍然,44
军警,44
挂到,44
账为,44
答案,44
三方,44
店内,44
预存,44
规定,44
不再,44
海通,44
基本,44
线下,44
尝试,44
劵,44
兴业,44
金币,44
国民,44
电子商务,44
到场,44
凌翔,44
奶奶,44
浙江省,43
一段,43
米,43
赔偿,43
第八,43
取货,43
之会,43
专门,43
田,43
少,43
99,43
赶至,43
学堂,43
8500,43
index,43
刚,43
没到,43
河南省,43
直至,43
受过,43
货币,43
留,43
运营,43
希望,43
接收,43
应该,43
地方,43
利用,43
止付,43
寻找,43
电器,42
来自,42
客,42
全国,42
周,42
开启,42
街道,42
农,42
热饭,42
价,42
西游,42
协办,42
盈利,42
城,42
药品,42
删,42
商铺,42
本名,42
红牛,42
口音,42
连接,42
深圳,42
文化传媒,42
钢材,42
该笔,42
10000.1,42
运费,42
不想,42
顾节,41
29500,41
江西,41
达到,41
称会,41
学,41
对象,41
诚信,41
之有,41
成交,41
手中,41
港币,41
游,41
其店,41
兑付,41
四个,41
文章,41
扣,41
不好,40
问道,40
中旬,40
接听,40
中奖,40
有加,40
吃饭,40
不锈钢,40
随让,40
预留,40
乐播,40
倒闭,40
降低,40
以交,40
山西省,40
交了,40
其点,40
移动,40
拉进,40
迷你,40
股票,40
共向,40
食材,40
首次,40
打算,40
ATM,40
现货,40
20%,40
会计,40
大量,40
淘,39
挣,39
酒水,39
9600,39
债权,39
1400,39
1688,39
明明,39
龙,39
河南,39
利息,39
