Word,Count
转账,22821
贷款,21331
银行卡,13544
APP,13197
下载,11422
客服,10789
账户,10016
卡号,9656
需要,9217
银行,8163
账号,7391
信息,6569
提现,6467
解冻,6269
微信,6244
手机,5574
冻结,5093
联系,4866
进行,4677
链接,4587
申请,4567
上,4287
转,4278
软件,4240
填写,3976
嫌疑,3971
万,3928
错误,3863
。-,3823
操作,3446
添加,3322
中国,3240
诈,3147
内,2980
办理,2925
中国建设银行,2870
显示,2761
短信,2701
点击,2696
注册,2689
资金,2602
10000,2482
金融,2455
中国银行,2425
号,2414
中国农业银行,2382
贷,2347
邮政储蓄,2337
金额,2306
.,2244
网上,2240
继续,2139
使用,2087
还,2060
没有,2058
输入,2000
平台,1958
家中,1951
然,1942
15000,1915
中,1908
卡,1885
提示,1842
网址,1841
6000,1827
2,1825
1,1825
指定,1800
自称,1792
收到,1776
已,1773
秒,1773
app,1766
缴纳,1751
才能,1743
不,1720
京东,1689
10,1662
5000,1662
20000,1655
。，,1638
建设银行,1611
保证金,1607
里,1590
额度,1574
导致,1553
意识,1539
开户,1508
成功,1503
陌生,1474
农业银行,1451
认证,1425
30000,1422
金,1422
中国工商银行,1415
3,1386
账,1362
工作,1361
涉案,1361
问,1359
告诉,1355
是否,1323
遂,1317
收款,1314
方式,1314
流水,1302
派出所,1301
12,1284
再,1281
企业,1266
QQ,1255
聊天,1244
网络,1233
员,1229
里面,1221
去,1215
一条,1214
借款,1197
银行账号,1190
11,1184
信用卡,1178
名为,1165
开户行,1165
15,1159
候,1157
14,1143
民警,1139
经理,1137
询问,1125
二维码,1119
再次,1107
笔,1091
好友,1077
工商银行,1070
业务员,1047
16,1046
25000,1044
间,1033
13,1005
建设,1000
告知,976
5,964
农村,959
共,955
点,948
17,943
交,933
50000,929
农业,913
居民,912
一款,909
20,903
广告,900
手机号,898
e,891
完成,890
9,888
一笔,884
才,873
会,872
110,870
转入,859
畅聊,855
放款,855
看到,854
删除,853
微粒,851
便,846
发送,842
